Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2012-04-30,33.270,33.360,32.580,33.130,413848,N/A,16.9324,
2012-04-27,33.600,33.630,32.910,33.340,590905,N/A,17.0397,
2012-04-26,32.960,33.520,32.910,33.490,425719,N/A,17.1164,
2012-04-25,32.070,32.990,32.070,32.910,712133,N/A,16.8200,
2012-04-24,31.820,32.200,31.000,31.820,674467,N/A,16.2629,
2012-04-23,32.860,32.970,31.710,31.940,890715,N/A,16.3242,
2012-04-20,33.140,33.730,32.940,33.160,821774,N/A,16.9477,
2012-04-19,32.750,33.430,32.500,33.160,774878,N/A,16.9477,
2012-04-18,32.090,32.750,31.530,32.660,823096,N/A,16.6922,
2012-04-17,32.430,33.070,32.040,32.240,1115438,N/A,16.4775,
2012-04-16,33.410,33.700,32.090,32.250,1099751,N/A,16.4826,
2012-04-13,33.940,34.040,32.850,33.590,649580,N/A,17.1675,
2012-04-12,33.770,34.480,32.920,33.440,1034154,N/A,17.0908,
2012-04-11,33.240,33.290,32.010,33.090,1105447,N/A,16.9119,
2012-04-10,33.150,33.849,32.100,32.460,1847669,N/A,16.5900,
2012-04-09,34.100,34.290,33.100,33.150,1655655,N/A,16.9426,
2012-04-06,0.000,0.000,0.000,34.480,0,N/A,N/A
2012-04-05,35.100,35.440,34.410,34.480,1509478,N/A,17.6224,
2012-04-04,35.270,35.490,34.690,35.000,4482816,N/A,17.8881,
2012-04-03,36.700,38.470,36.670,38.010,1100420,N/A,19.4265,
2012-04-02,37.330,37.970,36.530,36.580,1028504,N/A,18.6956,
2012-03-30,37.520,37.940,36.680,37.240,886312,N/A,19.0330,
2012-03-29,38.190,38.190,37.030,37.330,796335,N/A,19.0790,
2012-03-28,37.780,38.440,37.110,37.850,954970,N/A,19.3447,
2012-03-27,37.160,39.950,37.030,37.940,2539178,N/A,19.3907,
2012-03-26,35.590,38.090,35.041,37.400,3140891,N/A,19.1147,
2012-03-23,34.260,34.630,33.150,34.080,1170567,N/A,17.4179,
2012-03-22,34.970,35.150,34.300,34.400,522353,N/A,17.5815,
2012-03-21,34.940,35.300,34.600,35.150,607103,N/A,17.9648,
2012-03-20,34.980,35.200,34.570,34.960,567001,N/A,17.8677,
2012-03-19,35.260,35.320,34.540,34.980,1015586,N/A,17.8779,
2012-03-16,34.900,35.890,34.830,35.320,729236,N/A,18.0517,
2012-03-15,35.280,35.480,34.780,35.000,571596,N/A,17.8881,
2012-03-14,36.000,36.000,34.800,35.290,851464,N/A,18.0363,
2012-03-13,36.510,36.590,35.500,36.090,1001643,N/A,18.4452,
2012-03-12,34.690,36.290,34.600,36.010,1963220,N/A,18.4043,
2012-03-09,33.200,35.310,33.200,34.740,1553323,N/A,17.7552,
2012-03-08,33.110,33.490,33.040,33.070,633267,N/A,16.9017,
2012-03-07,33.120,33.315,32.910,33.120,364831,N/A,16.9273,
2012-03-06,33.250,33.280,32.620,33.110,573749,N/A,16.9222,
2012-03-05,34.350,34.400,33.460,33.770,466938,N/A,17.2595,
2012-03-02,34.400,34.500,33.710,34.040,549971,N/A,17.3975,
2012-03-01,33.510,34.500,33.305,34.410,703435,N/A,17.5866,
2012-02-29,33.810,34.120,33.140,33.410,535684,N/A,17.0755,
